b188 -- INDEX QUERIES: every term and every keystone named, per (c).

-- THE FOUR TERMS --
  identity                 HIT -> identity
  archimedean trace        NO KEY
  archimedean positivity   HIT -> archimedean-positivity
  quotient trace           NO KEY
  restricted tensor        NO KEY
  weil ledger              NO KEY
  weil criterion           HIT -> weil-criterion

-- ADJACENT / CHAIN OBJECTS --
  e1-even-bridge           HIT -> e1-even-bridge
  exact reduction          HIT -> exact-reduction
  apportionment family     HIT -> apportionment-family
  void gate                HIT -> void-gate
  density collapse         NO KEY
  sector occupancy         HIT -> sector-occupancy
  selection criterion      HIT -> selection-criterion
  refinement arity         HIT -> refinement-arity
  boundary license         HIT -> boundary-license
  class richness           NO KEY
  conjugation stability    NO KEY
  the T-reading            NO KEY

### ABSENCE FROM THE INDEX IS NOT ABSENCE FROM THE RECORD.
### Keys close false hits; they do not close false misses.
