a2,stair_2,stair_3,stair_5,E2even,E2odd,E2full,PR,Theta_q,junction,resid_A,resid_B,bar_B
2,1,0,0,1.001813,0.677614,1.679427,0.000000,0.000000,0.000000,-1.001813,-0.061579,4.10e-02
3,1,1,0,0.910945,0.605703,1.516648,0.106484,0.000000,0.106484,-1.017429,-0.365259,2.58e-02
4,2,1,0,0.834034,0.540018,1.374052,0.249320,0.161978,0.087341,-0.921376,-0.371901,2.52e-02
8,3,1,1,0.685518,0.410727,1.096245,0.561045,0.317018,0.244027,-0.929545,-0.533360,1.71e-02
9,3,2,1,0.665134,0.393177,1.058311,0.608882,0.473862,0.135021,-0.800155,-0.423951,1.55e-02
12,3,2,1,0.620096,0.354977,0.975073,0.714334,0.518491,0.195843,-0.815939,-0.477912,1.95e-02
16,4,2,1,0.580637,0.322459,0.903096,0.799150,0.588909,0.210241,-0.790878,-0.492613,1.37e-02
20,4,2,1,0.553188,0.300512,0.853700,0.852777,0.601007,0.251769,-0.804957,-0.531484,9.17e-03
25,4,2,2,0.528115,0.281019,0.809134,0.896289,0.734531,0.161759,-0.689874,-0.437418,1.24e-02
32,5,3,2,0.502770,0.261903,0.764673,0.933310,0.847886,0.085424,-0.588194,-0.360293,1.02e-02
36,5,3,2,0.491462,0.253577,0.745038,0.947279,0.857845,0.089435,-0.580897,-0.360701,1.34e-02
45,5,3,2,0.471295,0.239048,0.710343,0.968113,0.871549,0.096564,-0.567859,-0.364306,1.15e-02
50,5,3,2,0.462302,0.232700,0.695001,0.975802,0.875924,0.099877,-0.562179,-0.367545,9.24e-03
64,6,3,2,0.442517,0.219037,0.661553,0.989784,0.898565,0.091219,-0.533736,-0.355119,1.09e-02
81,6,4,2,0.424892,0.207214,0.632106,0.999125,0.927942,0.071182,-0.496074,-0.328757,1.18e-02
100,6,4,2,0.410262,0.197656,0.607918,1.004851,0.928192,0.076658,-0.486920,-0.332595,1.23e-02
