v	kind	a	b	inP
2	generator	0	0	True
3	generator	1	0	True
5	consecutive	1	1	True
7	consecutive	2	1	True
11	consecutive	1	2	True
13	consecutive	2	2	True
17	consecutive	3	2	True
19	consecutive	4	1	True
23	inclusion			True
29	consecutive	1	3	True
31	consecutive	2	3	True
41	consecutive	5	2	True
43	-	4	3	False
53	inclusion			True
59	-	5	3	False
67	-	6	1	False
73	-	6	2	False
83	-	1	4	False
89	-	3	4	False
97	-	4	4	False
113	-	5	4	False
131	-	7	1	False
137	jump	7	2	True
251	-	3	5	False
257	-	8	0	False
283	-	8	3	False
307	-	6	5	False
337	jump	8	4	True
