========================================================================================================
b461 -- THE SUCCESSOR SUITE. ### **PRE-PUSH READING.**
========================================================================================================
  arms in the face`s (G2) block : 53 ; on the whole face : 56 ; run here : 52 ; deferred : 1
  ### the (G2) block also names `G-NOSTAGE-A`, which this act RETIRED, inside the arm list --
  ### ### **REHEARSAL 1`S LESSON RECURRING ON THIS ACT`S OWN FACE: THE LEXICAL COUNT OVER-READS
  ### ### BY ONE. ### PRINTED, NOT RECONCILED.**

  ### THE EXERCISE. ### **NEG must PASS ; POS must FAIL.**
  arm                                  LIVE  NEG   POS   verdict
  ----------------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                    PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                         PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                    PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                      PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                      PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                   PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                     PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                      PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED      PASS  PASS  FAIL  OK
  G-LANE-TRIGGER-NAMED                 PASS  PASS  FAIL  OK
  G-R70-REHEARSED-BEFORE-LOCK          PASS  PASS  FAIL  OK
  G-R70-COUNT-DIFFERENCE-PRINTED       PASS  PASS  FAIL  OK
  G-C1-SIXTYFOUR-ENUMERATED            PASS  PASS  FAIL  OK
  G-C1-EVERY-ARM-MATCHED               PASS  PASS  FAIL  OK
  G-C1-READS-BY-IDENTIFIER             PASS  PASS  FAIL  OK
  G-C1-REAL-VS-SYNTHETIC               PASS  PASS  FAIL  OK
  G-C1-STATUS-THREE-VALUED             PASS  PASS  FAIL  OK
  G-C1-REAL-COUNT-PRINTED              PASS  PASS  FAIL  OK
  G-C2-B396-QUOTED-AT-ADDRESS          PASS  PASS  FAIL  OK
  G-C2-DISPOSITION-CONJUNCTIVE         PASS  PASS  FAIL  OK
  G-C2-RETIRED-KEPT-AS-COMMENT         PASS  PASS  FAIL  OK
  G-C2-EVERY-SURVIVOR-EXERCISED        PASS  PASS  FAIL  OK
  G-C2-NEGATIVE-PASSES                 PASS  PASS  FAIL  OK
  G-C2-POSITIVE-FAILS                  PASS  PASS  FAIL  OK
  G-C2-DEFECTIVE-ARMS-NAMED            PASS  PASS  FAIL  OK
  G-C2-BEFORE-AFTER-COUNTS             PASS  PASS  FAIL  OK
  G-C2-OTHER-READING-COUNTED           PASS  PASS  FAIL  OK
  G-FILING-OBSERVATION-NOT-CANDIDATE   PASS  PASS  FAIL  OK
  G-FILING-PRICED-NOT-RUN              PASS  PASS  FAIL  OK
  G-FILING-B449-UNEDITED               PASS  PASS  FAIL  OK
  G-N1-SCORED                          PASS  PASS  FAIL  OK
  G-N2-SCORED                          PASS  PASS  FAIL  OK
  G-N3-SCORED                          PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED           PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                       PASS  PASS  FAIL  OK
  G-NOGRADE-MOVED                      PASS  PASS  FAIL  OK
  G-NOOBJECT-CLAIM                     PASS  PASS  FAIL  OK
  G-NODEPOSIT                          PASS  PASS  FAIL  OK
  G-NOH2-MOVED                         PASS  PASS  FAIL  OK
  G-NOPRIORBANK                        PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                    PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                       PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                  PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                   PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                    PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                  PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT          PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN               PASS  PASS  FAIL  OK
  G-MUSTFAIL                           PASS  PASS  FAIL  OK

  ### ### **ARMS RUN : 51. ### LIVE PASSING : 51. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **ARMS NOT EXERCISED : 0.**
  ### ### **VERDICT : ALL ARMS PASS AND EVERY CONTROL BEHAVES**
========================================================================================================
