========================================================================================================
b467 -- THE SUITE. ### **PRE-PUSH READING.** ### every arm exercised on both controls.
========================================================================================================
  arms in the (G2) block : 65 ; run here : 65 ; deferred : 1
  arm                                  LIVE  NEG   POS   verdict
  --------------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                    PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                         PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                    PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                      PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                      PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                   PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                     PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                      PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED      PASS  PASS  FAIL  OK
  G-R70-REHEARSED-BEFORE-LOCK          PASS  PASS  FAIL  OK
  G-FERRY-BYTE-IDENTICAL-TO-B465       PASS  PASS  FAIL  OK
  G-R75-REISSUE-SAID                   PASS  PASS  FAIL  OK
  G-C1-EIGHT-FROM-B464-BANK            PASS  PASS  FAIL  OK
  G-C1-COUNT-AGREES                    PASS  PASS  FAIL  OK
  G-C1-CONCORDANCE-PARSED-NOT-TYPED    PASS  PASS  FAIL  OK
  G-C1-CONCORDANCE-GRADE-IS-AXIOMS     PASS  PASS  FAIL  OK
  G-C1-MATCHER-LINEAGE-PRINTED         PASS  PASS  FAIL  OK
  G-C1-FINDER-CONTROL-FIRES            PASS  PASS  FAIL  OK
  G-C1-FINDER-NEGATIVE-CONTROL         PASS  PASS  FAIL  OK
  G-C1-BOTH-COLUMNS-PRINTED            PASS  PASS  FAIL  OK
  G-C1-STANDIN-LABELLED                PASS  PASS  FAIL  OK
  G-C1-STATEMENT-NOT-DOCSTRING         PASS  PASS  FAIL  OK
  G-C1-FOUR-GRADES-ONLY                PASS  PASS  FAIL  OK
  G-C1-TERMINAL-AT-PIN                 PASS  PASS  FAIL  OK
  G-C1-ROUTED-NOT-REPAIRED             PASS  PASS  FAIL  OK
  G-C1-NO-ERRATUM-DRAFTED              PASS  PASS  FAIL  OK
  G-C2-SOURCE-PINNED                   PASS  PASS  FAIL  OK
  G-C2-WHICH-STATEMENT-SAID            PASS  PASS  FAIL  OK
  G-C2-GARBLING-CARRIED                PASS  PASS  FAIL  OK
  G-C2-SCOPE-SENTENCE-QUOTED           PASS  PASS  FAIL  OK
  G-C2-PARAMS-BEFORE-SITES             PASS  PASS  FAIL  OK
  G-C2-SIX-SITES-PLACED                PASS  PASS  FAIL  OK
  G-C2-THREE-VERDICTS-ONLY             PASS  PASS  FAIL  OK
  G-C2-HEADINGS-THREE-ONLY             PASS  PASS  FAIL  OK
  G-C2-NONE-BUCKET-REPORTED            PASS  PASS  FAIL  OK
  G-C2-TRUNCATION-DISTINCTION-PRINTED  PASS  PASS  FAIL  OK
  G-C2-ANALYTIC-CONDUCTOR-DISCLOSED    PASS  PASS  FAIL  OK
  G-C2-COMPARED-TO-CC-CELLWISE         PASS  PASS  FAIL  OK
  G-C2-NO-SITE-ENTERED                 PASS  PASS  FAIL  OK
  G-C2-ROWU1-UNEDITED                  PASS  PASS  FAIL  OK
  G-C2-FREEZE-QUOTED                   PASS  PASS  FAIL  OK
  G-C2-NO-BRIDGE-TYPED                 PASS  PASS  FAIL  OK
  G-N1-SCORED                          PASS  PASS  FAIL  OK
  G-N2-SCORED                          PASS  PASS  FAIL  OK
  G-N3-SCORED                          PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED           PASS  PASS  FAIL  OK
  G-SEAT-WIDTH-PREDICTION-SCORED       PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                       PASS  PASS  FAIL  OK
  G-NOGRADE-MOVED                      PASS  PASS  FAIL  OK
  G-NODEPOSIT                          PASS  PASS  FAIL  OK
  G-NOH2-MOVED                         PASS  PASS  FAIL  OK
  G-NOKERNEL-RUN                       PASS  PASS  FAIL  OK
  G-NOPRIORBANK                        PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                    PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                       PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                  PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                   PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                    PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                  PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN               PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT          PASS  PASS  FAIL  OK
  G-MUSTFAIL                           PASS  PASS  FAIL  OK
  G-MIRROR-TAGGED-BUILD                DEFERRED TO POST-PUSH

  ### ### **ARMS RUN : 64. ### LIVE PASSING : 64. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **VERDICT : ALL ARMS PASS AND EVERY CONTROL BEHAVES**
========================================================================================================
