========================================================================================================
b481 -- THE SUITE. ### **PRE-PUSH READING.** ### every arm exercised on both controls.
========================================================================================================
  arms in the (G2) block : 50 ; run here : 50 ; deferred : 1
  arm                                    LIVE  NEG   POS   verdict
  ------------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                      PASS  PASS  FAIL  OK
  G-PART2-BANKED-NOT-RUN                 PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                           PASS  PASS  FAIL  OK
  G-SCAN-FLAGS-ZERO                      PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                      PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                        PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                        PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                     PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                       PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                        PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                  PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED        PASS  PASS  FAIL  OK
  G-R89-NO-BUILD-STARTED                 PASS  PASS  FAIL  OK
  G-R89-NO-LOG-READ                      PASS  PASS  FAIL  OK
  G-R89-NOTHING-FETCHED                  PASS  PASS  FAIL  OK
  G-C1-GATE-QUOTED-WHOLE                 PASS  PASS  FAIL  OK
  G-C1-TRIGGER-NAMED                     PASS  PASS  FAIL  OK
  G-C1-CPRIME-SEARCHED-WIDE              PASS  PASS  FAIL  OK
  G-C1-ABSENT-NOT-FILLED                 PASS  PASS  FAIL  OK
  G-C2-BOTH-RECORDS-QUOTED               PASS  PASS  FAIL  OK
  G-C2-DECIDING-SENTENCE-QUOTED          PASS  PASS  FAIL  OK
  G-C2-VERDICT-FROM-THE-BANK             PASS  PASS  FAIL  OK
  G-C2-FETCHES-CITED                     PASS  PASS  FAIL  OK
  G-C3-FOUR-SITES-READ                   PASS  PASS  FAIL  OK
  G-C3-FIELD-TABLE                       PASS  PASS  FAIL  OK
  G-C3-NOT-STATED-DISTINCT               PASS  PASS  FAIL  OK
  G-C3-NO-SITE-EDITED                    PASS  PASS  FAIL  OK
  G-N1-SCORED                            PASS  PASS  FAIL  OK
  G-N2-SCORED                            PASS  PASS  FAIL  OK
  G-N3-SCORED                            PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED             PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                         PASS  PASS  FAIL  OK
  G-NOGRADE-MOVED                        PASS  PASS  FAIL  OK
  G-NODEPOSIT                            PASS  PASS  FAIL  OK
  G-NOH2-MOVED                           PASS  PASS  FAIL  OK
  G-NOPRIORBANK                          PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                      PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                         PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                    PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                     PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                      PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                  PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                    PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN                 PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT            PASS  PASS  FAIL  OK
  G-MUSTFAIL                             PASS  PASS  FAIL  OK
  G-ARTEFACTS-NOT-COMMITTED              PASS  PASS  FAIL  OK
  G-CORPUS-LEAN-UNTOUCHED                PASS  PASS  FAIL  OK
  G-PUSHED-PREDICATE-THREE-CLAUSED       PASS  PASS  FAIL  OK
  G-MIRROR-TAGGED-BUILD                  DEFERRED TO POST-PUSH

  ### files written that NO (W) GLOB COVERS : 0 
  ### G-NOPRIORBANK checked 2433 prior banks; EXCLUDED BY NAME, as owned by the two live
  ### detached runs and not by this act : b475_zeta23_build.log, b477_entries.jsonl, b477_gram.log
  ### ### **ARMS RUN : 49. ### LIVE PASSING : 49. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **VERDICT : ALL ARMS PASS AND EVERY CONTROL BEHAVES**
========================================================================================================
