========================================================================================================
b484 -- THE SUITE. ### **PRE-PUSH READING.** ### every arm exercised on both controls.
========================================================================================================
  arms in the (G2) block : 56 ; run here : 56 ; deferred : 1
  arm                                        LIVE  NEG   POS   verdict
  --------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                          PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                               PASS  PASS  FAIL  OK
  G-SCAN-FLAGS-ZERO                          PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                          PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                            PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                            PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                         PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                           PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                            PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                      PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED            PASS  PASS  FAIL  OK
  G-NUMBER-UNCLAIMED                         PASS  PASS  FAIL  OK
  G-C1-TWO-WORDS-ONLY                        PASS  PASS  FAIL  OK
  G-C1-ORIGINAL-PRESERVED-VERBATIM           PASS  PASS  FAIL  OK
  G-C1-NO-OTHER-LINE-TOUCHED                 PASS  PASS  FAIL  OK
  G-C1-VALUES-FROM-REGISTRY                  PASS  PASS  FAIL  OK
  G-C1-CONCEPT-DOI-UNTOUCHED                 PASS  PASS  FAIL  OK
  G-C1-DIFF-PRINTED                          PASS  PASS  FAIL  OK
  G-C2-WORDORDER-FILED                       PASS  PASS  FAIL  OK
  G-C2-TRIGGER-NAMED                         PASS  PASS  FAIL  OK
  G-C2-BOTH-FIGURES-PRINTED                  PASS  PASS  FAIL  OK
  G-C2-MATCHER-LINEAGE-PRINTED               PASS  PASS  FAIL  OK
  G-C2-RESIDUE-HAND-READ                     PASS  PASS  FAIL  OK
  G-C2-CHAIN-NOT-EDITED                      PASS  PASS  FAIL  OK
  G-C3-COMPARATOR-AT-ITS-LINE                PASS  PASS  FAIL  OK
  G-C3-TWO-COMPARATORS-NAMED                 PASS  PASS  FAIL  OK
  G-C3-ASQ-FULL-PRECISION                    PASS  PASS  FAIL  OK
  G-C3-NOT-AT-THE-EDGE                       PASS  PASS  FAIL  OK
  G-C3-B400-QUOTED                           PASS  PASS  FAIL  OK
  G-C3-THREE-BANKS-QUOTED                    PASS  PASS  FAIL  OK
  G-C3-ONE-VERDICT                           PASS  PASS  FAIL  OK
  G-N1-SCORED                                PASS  PASS  FAIL  OK
  G-N2-SCORED                                PASS  PASS  FAIL  OK
  G-N3-SCORED                                PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED                 PASS  PASS  FAIL  OK
  G-NO-CHAIN-RUN                             PASS  PASS  FAIL  OK
  G-NOB475LOG                                PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                             PASS  PASS  FAIL  OK
  G-NOGRADE-MOVED                            PASS  PASS  FAIL  OK
  G-NODEPOSIT                                PASS  PASS  FAIL  OK
  G-NOH2-MOVED                               PASS  PASS  FAIL  OK
  G-NOPRIORBANK                              PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                          PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                             PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                        PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                         PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                          PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                      PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                        PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN                     PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT                PASS  PASS  FAIL  OK
  G-MUSTFAIL                                 PASS  PASS  FAIL  OK
  G-ARTEFACTS-NOT-COMMITTED                  PASS  PASS  FAIL  OK
  G-CORPUS-LEAN-UNTOUCHED                    PASS  PASS  FAIL  OK
  G-PUSHED-PREDICATE-THREE-CLAUSED           PASS  PASS  FAIL  OK
  G-MIRROR-TAGGED-BUILD                      DEFERRED TO POST-PUSH

  ### files written that NO (W) GLOB COVERS : 0 
  ### G-NOPRIORBANK checked 2499 prior banks; b475`s still-growing log excluded by name.
  ### ### **ARMS RUN : 55. ### LIVE PASSING : 55. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **VERDICT : ALL ARMS PASS AND EVERY CONTROL BEHAVES**
========================================================================================================
