========================================================================================================
b485 -- THE SUITE. ### **POST-PUSH READING.** ### every arm exercised on both controls.
========================================================================================================
  arms in the (G2) block : 57 ; run here : 57 ; deferred : 0
  arm                                        LIVE  NEG   POS   verdict
  --------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                          PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                               PASS  PASS  FAIL  OK
  G-SCAN-FLAGS-ZERO                          PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                          PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                            PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                            PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                         PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                           PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                            PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                      PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED            PASS  PASS  FAIL  OK
  G-NUMBER-UNCLAIMED                         PASS  PASS  FAIL  OK
  G-C0-CPU-TWICE                             PASS  PASS  FAIL  OK
  G-C0-LOG-NOT-OPENED                        PASS  PASS  FAIL  OK
  G-C1-HASHES-VERIFIED                       PASS  PASS  FAIL  OK
  G-C1-NO-BOM                                PASS  PASS  FAIL  OK
  G-C1-FIELDS-NOT-INFERRED                   PASS  PASS  FAIL  OK
  G-C1-FILES-LISTED                          PASS  PASS  FAIL  OK
  G-C1-NOTHING-FETCHED-BY-THIS-SEAT          PASS  PASS  FAIL  OK
  G-C2-NOTE-QUOTED-VERBATIM                  PASS  PASS  FAIL  OK
  G-C2-CORRECTION-BESIDE-NOT-FOLDED          PASS  PASS  FAIL  OK
  G-C2-ERRATA-APPENDED                       PASS  PASS  FAIL  OK
  G-C2-REGISTRY-ROW-ANNOTATED                PASS  PASS  FAIL  OK
  G-C2-PRIOR-TEXT-PRESERVED                  PASS  PASS  FAIL  OK
  G-C2-LINES-REMOVED-ZERO                    PASS  PASS  FAIL  OK
  G-C3-TABLE-REPRINTED                       PASS  PASS  FAIL  OK
  G-C3-FIFTH-SITE-NOT-RECONCILED             PASS  PASS  FAIL  OK
  G-C3-FINDINGS-AT-ADDRESSES                 PASS  PASS  FAIL  OK
  G-C3-FROZEN-LEDGER-NOT-EDITED              PASS  PASS  FAIL  OK
  G-C3-DISCHARGE-SCOPED                      PASS  PASS  FAIL  OK
  G-C3-GATE-TEXT-OTHERWISE-UNTOUCHED         PASS  PASS  FAIL  OK
  G-N1-SCORED                                PASS  PASS  FAIL  OK
  G-N2-SCORED                                PASS  PASS  FAIL  OK
  G-N3-SCORED                                PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED                 PASS  PASS  FAIL  OK
  G-NOZENODO-WRITE                           PASS  PASS  FAIL  OK
  G-NOB475LOG                                PASS  PASS  FAIL  OK
  G-NO-CHAIN-RUN                             PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                             PASS  PASS  FAIL  OK
  G-NOGRADE-MOVED                            PASS  PASS  FAIL  OK
  G-NODEPOSIT                                PASS  PASS  FAIL  OK
  G-NOH2-MOVED                               PASS  PASS  FAIL  OK
  G-NOPRIORBANK                              PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                          PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                             PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                        PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                         PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                          PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                      PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                        PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN                     PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT                PASS  PASS  FAIL  OK
  G-MIRROR-TAGGED-BUILD                      PASS  PASS  FAIL  OK
  G-MUSTFAIL                                 PASS  PASS  FAIL  OK
  G-ARTEFACTS-NOT-COMMITTED                  PASS  PASS  FAIL  OK
  G-CORPUS-LEAN-UNTOUCHED                    PASS  PASS  FAIL  OK
  G-PUSHED-PREDICATE-THREE-CLAUSED           PASS  PASS  FAIL  OK

  ### files written that NO (W) GLOB COVERS : 0 
  ### G-NOPRIORBANK checked 2528 prior banks; b475`s still-growing log excluded by name.
  ### ### **ARMS RUN : 57. ### LIVE PASSING : 57. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **VERDICT : ALL ARMS PASS AND EVERY CONTROL BEHAVES**
========================================================================================================
