  ### arms the face RETIRES in its own words : ['G-NOB475LOG']
========================================================================================================
b490 -- THE SUITE. ### **PRE-PUSH READING.** ### every arm exercised on both controls.
========================================================================================================
  arms in the (G2) block : 61 ; run here : 61 ; deferred : 1
  arm                                        LIVE  NEG   POS   verdict
  --------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                          PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                               PASS  PASS  FAIL  OK
  G-SCAN-FLAGS-ZERO                          PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                          PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                            PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                            PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                         PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                           PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                            PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                      PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED            PASS  PASS  FAIL  OK
  G-NUMBER-UNCLAIMED                         PASS  PASS  FAIL  OK
  G-C0-TWO-READINGS                          PASS  PASS  FAIL  OK
  G-C0-BOTH-ABSENT                           PASS  PASS  FAIL  OK
  G-C0-LOG-STAT-NOT-READ                     PASS  PASS  FAIL  OK
  G-C0-PID-IDENTIFIED                        PASS  PASS  FAIL  OK
  G-C0-EXCLUSION-DROPPED                     PASS  PASS  FAIL  OK
  G-C1-34-STEPS                              PASS  PASS  FAIL  OK
  G-C1-ENTRIES-NAMED                         PASS  PASS  FAIL  OK
  G-C1-NONE-WHERE-NONE                       PASS  PASS  FAIL  OK
  G-C1-CHANNEL-SPLIT-CLOSES                  PASS  PASS  FAIL  OK
  G-C1-BOTH-ROUNDINGS-PRINTED                PASS  PASS  FAIL  OK
  G-C1-TERMS-AT-ONE-CELL                     PASS  PASS  FAIL  OK
  G-C1-HALT-HAS-A-CONTROL                    PASS  PASS  FAIL  OK
  G-C1-REHEARSAL-AT-17                       PASS  PASS  FAIL  OK
  G-C2-35-RATIOS                             PASS  PASS  FAIL  OK
  G-C2-PEAK-NAMED                            PASS  PASS  FAIL  OK
  G-C2-OUTLIER-MARKED                        PASS  PASS  FAIL  OK
  G-C2-MINIMUM-MARKED                        PASS  PASS  FAIL  OK
  G-C2-ONE-VERDICT                           PASS  PASS  FAIL  OK
  G-C3-THREE-CROSSINGS-QUOTED                PASS  PASS  FAIL  OK
  G-C3-HEIGHTS-AND-SUPPORTS                  PASS  PASS  FAIL  OK
  G-C3-TESTED-AT-b334-IN-TRAIL               PASS  PASS  FAIL  OK
  G-C3-LADDER-REACH-STATED                   PASS  PASS  FAIL  OK
  G-N1-SCORED                                PASS  PASS  FAIL  OK
  G-N2-SCORED                                PASS  PASS  FAIL  OK
  G-N3-SCORED                                PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED                 PASS  PASS  FAIL  OK
  G-NOCHAIN-RUN                              PASS  PASS  FAIL  OK
  G-NOLANE-OPENED                            PASS  PASS  FAIL  OK
  G-NOZENODO-WRITE                           PASS  PASS  FAIL  OK
  G-NOTHING-COMPILED                         PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                             PASS  PASS  FAIL  OK
  G-NOGRADE-MOVED                            PASS  PASS  FAIL  OK
  G-NODEPOSIT                                PASS  PASS  FAIL  OK
  G-NOH2-MOVED                               PASS  PASS  FAIL  OK
  G-NOPRIORBANK                              PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                          PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                             PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                        PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                         PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                          PASS  PASS  FAIL  OK
  G-WRITELIST-SPANS-ACT                      PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                        PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN                     PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT                PASS  PASS  FAIL  OK
  G-MUSTFAIL                                 PASS  PASS  FAIL  OK
  G-ARTEFACTS-NOT-COMMITTED                  PASS  PASS  FAIL  OK
  G-CORPUS-LEAN-UNTOUCHED                    PASS  PASS  FAIL  OK
  G-PUSHED-PREDICATE-THREE-CLAUSED           PASS  PASS  FAIL  OK
  G-MIRROR-TAGGED-BUILD                      DEFERRED TO POST-PUSH

  ### files written that NO (W) GLOB COVERS : 0 
  ### G-NOPRIORBANK checked 2750 prior banks. ### ONE excluded BY NAME, with its ground:
  ###   `b475_zeta23_build.log`      -- another act`s live process is still appending.
  ### ### **b487`S SECOND EXCLUSION IS NOT CARRIED** -- it was b485`s bank, which (R97)
  ### directed b487 to append to. ### This act writes no prior bank, so the exception
  ### lapses with the ruling that made it and the arm is back at full width.
  ### ### **ARMS RUN : 60. ### LIVE PASSING : 60. ### LIVE FAILING : 0 .**
  ### ### **NEGATIVE-CONTROL FAILURES : 0. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **VERDICT : ALL ARMS PASS AND EVERY CONTROL BEHAVES**
========================================================================================================
