========================================================================================================
b497 -- THE SUITE. ### **POST-PUSH READING.** ### every arm exercised on both controls.
========================================================================================================
  arms in the (G2) block : 60 ; run here : 60 ; deferred : 0
  arm                                        LIVE  NEG   POS   verdict
  --------------------------------------------------------------------------------------------
  G-RECEIPT-IN-FULL                          PASS  PASS  FAIL  OK
  G-SCAN-CLEAN                               PASS  PASS  FAIL  OK
  G-SCAN-FLAGS-ZERO                          PASS  PASS  FAIL  OK
  G-STEPZERO-CENSUS                          PASS  PASS  FAIL  OK
  G-STEPZERO-PINS                            PASS  PASS  FAIL  OK
  G-SURVEY-NOMISS                            PASS  PASS  FAIL  OK
  G-REG-LOCKED-FIRST                         PASS  PASS  FAIL  OK
  G-LOCKGATE-EIGHT                           PASS  PASS  FAIL  OK
  G-SEAL-VERIFIES                            PASS  PASS  FAIL  OK
  G-PRIOR-CLOSED-PUSHED                      PASS  PASS  FAIL  OK
  G-ADDENDUM-SLOT-CONTENT-BOUNDED            PASS  PASS  FAIL  OK
  G-NUMBER-UNCLAIMED                         PASS  PASS  FAIL  OK
  G-PID-CHECKED-NOT-ASSUMED                  PASS  PASS  FAIL  OK
  G-PROCESS-GONE                             PASS  PASS  FAIL  OK
  G-PEEK-DECLARED                            PASS  PASS  FAIL  OK
  G-LOG-COMMITTED-UNCHANGED                  PASS  PASS  FAIL  OK
  G-LOG-BYTES-MATCH                          PASS  PASS  FAIL  OK
  G-EXITS-COUNTED                            PASS  PASS  FAIL  OK
  G-NONZERO-COUNTED                          PASS  PASS  FAIL  OK
  G-FAILED-MODULES-BY-NAME                   PASS  PASS  FAIL  OK
  G-WALL-VS-SUMMED-BOTH                      PASS  PASS  FAIL  OK
  G-DISTINCT-INSTANTS-COUNTED                PASS  PASS  FAIL  OK
  G-B495-N3-CELL-PAID                        PASS  PASS  FAIL  OK
  G-B495-S2-CELL-PAID                        PASS  PASS  FAIL  OK
  G-THREE-NAMES-SOUGHT                       PASS  PASS  FAIL  OK
  G-WHOLE-AXIOM-STRING                       PASS  PASS  FAIL  OK
  G-EACH-PROFILE-CLASSIFIED                  PASS  PASS  FAIL  OK
  G-STOP-OBEYED                              PASS  PASS  FAIL  OK
  G-COMPONENT3-NOT-RUN-IF-STOPPED            PASS  PASS  FAIL  OK
  G-R82-NOT-CLAIMED                          PASS  PASS  FAIL  OK
  G-REGISTRY-UNTOUCHED-IF-STOPPED            PASS  PASS  FAIL  OK
  G-NOCITE-BEFORE-PROFILE                    PASS  PASS  FAIL  OK
  G-N1-SCORED                                PASS  PASS  FAIL  OK
  G-N2-SCORED                                PASS  PASS  FAIL  OK
  G-N3-SCORED                                PASS  PASS  FAIL  OK
  G-SEAT-EXPECTATIONS-SCORED                 PASS  PASS  FAIL  OK
  G-NOTHING-COMPILED                         PASS  PASS  FAIL  OK
  G-NOLAKE                                   PASS  PASS  FAIL  OK
  G-NOTHING-FETCHED                          PASS  PASS  FAIL  OK
  G-NOZENODO-WRITE                           PASS  PASS  FAIL  OK
  G-NOGRADE-CONFERRED                        PASS  PASS  FAIL  OK
  G-NODEPOSIT                                PASS  PASS  FAIL  OK
  G-NOH2-MOVED                               PASS  PASS  FAIL  OK
  G-NOPRIORBANK                              PASS  PASS  FAIL  OK
  G-FOUR-LISTS-OPEN                          PASS  PASS  FAIL  OK
  G-SPAN-BY-TOOL                             PASS  PASS  FAIL  OK
  G-CORPUS-SCOPE                             PASS  PASS  FAIL  OK
  G-CORPUS-LEAN-UNTOUCHED                    PASS  PASS  FAIL  OK
  G-TRAIL-APPEND-ONLY                        PASS  PASS  FAIL  OK
  G-CORR-APPEND-ONLY                         PASS  PASS  FAIL  OK
  G-WRITELIST-KINDS                          FAIL  ###FAIL FAIL  ### NEG FAILS
  G-WRITELIST-SPANS-ACT                      PASS  PASS  FAIL  OK
  G-NOSTAGE-A-BY-DIFF                        PASS  PASS  FAIL  OK
  G-ARMS-DECLARED-EQ-RUN                     PASS  PASS  FAIL  OK
  G-ARMS-NO-SUBSTRING-VERDICT                PASS  PASS  FAIL  OK
  G-ARMS-NO-LIVE-LIMB                        PASS  PASS  FAIL  OK
  G-MIRROR-TAGGED-BUILD                      PASS  PASS  FAIL  OK
  G-MUSTFAIL                                 PASS  PASS  FAIL  OK
  G-ARTEFACTS-NOT-COMMITTED                  PASS  PASS  FAIL  OK
  G-PUSHED-PREDICATE-THREE-CLAUSED           PASS  PASS  FAIL  OK

  ### files written that NO (W) GLOB COVERS : 1 ['b495_ef_build.log']
  ### ### **(R107): THE GENERATOR WAS RE-RUN BY THIS SUITE.** ### exit 0.
  ###   rows added 0 ; rows gone 0 ; grade-or-profile changed 0
  ### G-NOPRIORBANK checked 2750 prior banks. ### ### **0 EXCLUDED BY NAME.**
  ### ### **THE b475 LOG EXCEPTION STAYS RETIRED.** ### b481-b489 excused
  ###   `b475_zeta23_build.log` as still being appended to by a live process. ### b490
  ### found pid 27508 ABSENT at two readings sixty seconds apart and the file cold, and
  ### b491 read the log COMPLETE. ### **AN EXCEPTION IS A CLAIM ABOUT THE WORLD AND
  ### DECAYS LIKE ONE.** ### b487`s second exclusion is not carried either: it was
  ### b485`s bank, which (R97) directed b487 to append to. ### The arm runs at FULL WIDTH.
  ### ### **ARMS RUN : 60. ### LIVE PASSING : 59. ### LIVE FAILING : 1 ['G-WRITELIST-KINDS'].**
  ### ### **NEGATIVE-CONTROL FAILURES : 1. ### POSITIVE-CONTROL PASSES : 0 .**
  ### ### **VERDICT : NOT CLEAN**
========================================================================================================
