[22:10:10] variant A ; widths 119
[22:10:11] (A) 1/119 a=1.3000 ; elapsed 1 s
[22:10:32] (A) 31/119 a=5.3852 ; elapsed 22 s
[22:11:28] (A) 61/119 a=8.8882 ; elapsed 78 s
[22:13:04] (A) 91/119 a=11.7047 ; elapsed 174 s
[22:15:08] variant A done ; elapsed 298 s
[22:15:08] variant B ; widths 119
[22:15:08] (B) 1/119 a=1.3000 ; elapsed 0 s
[22:15:21] (B) 31/119 a=5.3852 ; elapsed 13 s
[22:15:50] (B) 61/119 a=8.8882 ; elapsed 42 s
[22:16:38] (B) 91/119 a=11.7047 ; elapsed 90 s
[22:17:38] variant B done ; elapsed 149 s
[22:17:38] variant C ; widths 119
[22:17:38] (C) 1/119 a=1.3000 ; elapsed 0 s
[22:19:10] (C) 31/119 a=5.3852 ; elapsed 92 s
[22:23:48] (C) 61/119 a=8.8882 ; elapsed 370 s
[22:31:43] (C) 91/119 a=11.7047 ; elapsed 846 s
[22:42:12] variant C done ; elapsed 1474 s
