[00:09:46] a=15   E_tail 1.522e-06 ; B` 1.669e-07 ; OUT ; elapsed 3 s
[00:09:49] a=16   E_tail 1.095e-06 ; B` 1.312e-07 ; OUT ; elapsed 6 s
[00:09:52] a=17   E_tail 8.101e-07 ; B` 1.205e-07 ; OUT ; elapsed 10 s
[00:09:56] a=18   E_tail 6.141e-07 ; B` 1.328e-07 ; OUT ; elapsed 13 s
[00:10:00] a=19   E_tail 4.755e-07 ; B` 1.343e-07 ; OUT ; elapsed 18 s
[00:10:05] a=20   E_tail 3.750e-07 ; B` 1.320e-07 ; OUT ; elapsed 22 s
[00:10:10] a=21   E_tail 3.005e-07 ; B` 1.117e-07 ; OUT ; elapsed 27 s
[00:10:15] a=22   E_tail 2.443e-07 ; B` 8.938e-08 ; OUT ; elapsed 32 s
[00:10:21] a=23   E_tail 2.012e-07 ; B` 1.102e-07 ; OUT ; elapsed 38 s
[00:10:27] a=24   E_tail 1.676e-07 ; B` 1.190e-07 ; OUT ; elapsed 44 s
[00:10:33] a=25   E_tail 1.411e-07 ; B` 1.102e-07 ; OUT ; elapsed 51 s
[00:10:40] a=26   E_tail 1.198e-07 ; B` 8.997e-08 ; OUT ; elapsed 58 s
[00:10:48] a=27   E_tail 1.027e-07 ; B` 9.009e-08 ; OUT ; elapsed 65 s
[00:10:56] a=28   E_tail 8.863e-08 ; B` 1.053e-07 ; IN ; elapsed 74 s
[00:11:05] a=29   E_tail 7.706e-08 ; B` 1.104e-07 ; IN ; elapsed 82 s
[00:11:14] a=30   E_tail 6.743e-08 ; B` 1.056e-07 ; IN ; elapsed 91 s
[00:11:24] a=31   E_tail 5.937e-08 ; B` 9.684e-08 ; IN ; elapsed 102 s
[00:11:35] a=32   E_tail 5.255e-08 ; B` 8.289e-08 ; IN ; elapsed 113 s
[00:11:47] a=33   E_tail 4.676e-08 ; B` 7.496e-08 ; IN ; elapsed 125 s
[00:12:00] a=34   E_tail 4.180e-08 ; B` 6.884e-08 ; IN ; elapsed 138 s
[00:12:18] a=35   E_tail 3.753e-08 ; B` 6.764e-08 ; IN ; elapsed 155 s
[00:12:34] a=36   E_tail 3.384e-08 ; B` 7.044e-08 ; IN ; elapsed 172 s
[00:12:52] a=37   E_tail 3.062e-08 ; B` 6.924e-08 ; IN ; elapsed 189 s
[00:13:08] a=38   E_tail 2.782e-08 ; B` 6.989e-08 ; IN ; elapsed 206 s
[00:13:26] a=39   E_tail 2.535e-08 ; B` 8.042e-08 ; IN ; elapsed 224 s
[00:13:45] a=40   E_tail 2.318e-08 ; B` 8.818e-08 ; IN ; elapsed 243 s
[00:14:05] a=41   E_tail 2.125e-08 ; B` 9.267e-08 ; IN ; elapsed 262 s
[00:14:29] a=42   E_tail 1.954e-08 ; B` 9.271e-08 ; IN ; elapsed 286 s
[00:14:54] a=43   E_tail 1.802e-08 ; B` 9.166e-08 ; IN ; elapsed 311 s
[00:15:17] a=44   E_tail 1.666e-08 ; B` 8.486e-08 ; IN ; elapsed 334 s
[00:15:41] a=45   E_tail 1.543e-08 ; B` 7.822e-08 ; IN ; elapsed 358 s
[00:16:06] a=46   E_tail 1.433e-08 ; B` 7.182e-08 ; IN ; elapsed 383 s
[00:16:34] a=47   E_tail 1.333e-08 ; B` 7.004e-08 ; IN ; elapsed 411 s
[00:17:04] a=48   E_tail 1.243e-08 ; B` 7.647e-08 ; IN ; elapsed 441 s
[00:17:34] a=49   E_tail 1.161e-08 ; B` 8.222e-08 ; IN ; elapsed 471 s
[00:18:05] a=50   E_tail 1.087e-08 ; B` 8.503e-08 ; IN ; elapsed 502 s
[00:18:37] a=51   E_tail 1.019e-08 ; B` 8.289e-08 ; IN ; elapsed 534 s
[00:19:11] a=52   E_tail 9.572e-09 ; B` 7.642e-08 ; IN ; elapsed 568 s
[00:19:47] a=53   E_tail 9.004e-09 ; B` 6.864e-08 ; IN ; elapsed 604 s
[00:20:23] a=54   E_tail 8.482e-09 ; B` 6.301e-08 ; IN ; elapsed 640 s
[00:21:03] a=55   E_tail 8.002e-09 ; B` 6.174e-08 ; IN ; elapsed 680 s
[00:21:46] a=56   E_tail 7.560e-09 ; B` 6.264e-08 ; IN ; elapsed 723 s
[00:22:27] a=57   E_tail 7.152e-09 ; B` 6.523e-08 ; IN ; elapsed 764 s
[00:23:06] a=58   E_tail 6.774e-09 ; B` 6.742e-08 ; IN ; elapsed 804 s
[00:23:52] a=59   E_tail 6.424e-09 ; B` 6.879e-08 ; IN ; elapsed 850 s
[00:24:44] a=60   E_tail 6.100e-09 ; B` 6.817e-08 ; IN ; elapsed 902 s
### WITHIN REACH : 33 of 46 ; outside : [15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0]
