u,mode_n1,mode_n2,mode_n3,mode_n4,mode_n5,mode_n6
0.000000,-1.46723987e-02,-1.51884386e-02,-1.69232740e-02,-1.96022421e-02,-2.34877832e-02,2.93332311e-02
0.001000,-1.46289682e-02,-1.51234437e-02,-1.68087238e-02,-1.93908510e-02,-2.30924580e-02,2.85448080e-02
0.002001,-1.45819011e-02,-1.50534722e-02,-1.66848274e-02,-1.91609679e-02,-2.26631136e-02,2.76931000e-02
0.003001,-1.45372477e-02,-1.49876780e-02,-1.65674794e-02,-1.89420664e-02,-2.22542556e-02,2.68873606e-02
0.004001,-1.44949852e-02,-1.49260557e-02,-1.64565402e-02,-1.87339931e-02,-2.18651487e-02,2.61259997e-02
0.005001,-1.44550991e-02,-1.48684510e-02,-1.63519076e-02,-1.85362110e-02,-2.14951666e-02,2.54060584e-02
0.006002,-1.44175672e-02,-1.48147683e-02,-1.62534569e-02,-1.83483444e-02,-2.11436527e-02,2.47252616e-02
0.007002,-1.43823261e-02,-1.47649909e-02,-1.61609454e-02,-1.81702336e-02,-2.08096288e-02,2.40821814e-02
0.008002,-1.43493356e-02,-1.47190546e-02,-1.60742012e-02,-1.80016005e-02,-2.04923387e-02,2.34750497e-02
0.009002,-1.43185930e-02,-1.46768215e-02,-1.59931657e-02,-1.78419789e-02,-2.01913725e-02,2.29014975e-02
0.010003,-1.42900773e-02,-1.46382250e-02,-1.59177248e-02,-1.76910910e-02,-1.99061777e-02,2.23598796e-02
0.011003,-1.42637111e-02,-1.46032331e-02,-1.58476085e-02,-1.75487642e-02,-1.96357688e-02,2.18489772e-02
0.012003,-1.42394459e-02,-1.45717491e-02,-1.57826367e-02,-1.74146646e-02,-1.93794385e-02,2.13670737e-02
0.013003,-1.42172727e-02,-1.45436262e-02,-1.57227451e-02,-1.72883274e-02,-1.91368305e-02,2.09120457e-02
0.014004,-1.41971474e-02,-1.45187769e-02,-1.56677692e-02,-1.71694511e-02,-1.89073173e-02,2.04823897e-02
0.015004,-1.41789922e-02,-1.44971705e-02,-1.56174486e-02,-1.70578903e-02,-1.86900081e-02,2.00772119e-02
0.016004,-1.41627686e-02,-1.44787225e-02,-1.55716374e-02,-1.69533603e-02,-1.84843501e-02,1.96951741e-02
0.017004,-1.41484662e-02,-1.44632838e-02,-1.55302752e-02,-1.68554103e-02,-1.82900546e-02,1.93343911e-02
0.018005,-1.41360228e-02,-1.44507438e-02,-1.54931635e-02,-1.67637084e-02,-1.81064635e-02,1.89934527e-02
0.019005,-1.41253552e-02,-1.44410653e-02,-1.54600371e-02,-1.66781158e-02,-1.79327289e-02,1.86716673e-02
0.020005,-1.41164121e-02,-1.44341487e-02,-1.54307278e-02,-1.65983344e-02,-1.77682950e-02,1.83678285e-02
0.021005,-1.41091741e-02,-1.44298340e-02,-1.54051627e-02,-1.65239107e-02,-1.76128942e-02,1.80802124e-02
0.022006,-1.41035906e-02,-1.44280200e-02,-1.53831799e-02,-1.64545495e-02,-1.74660148e-02,1.78076781e-02
0.023006,-1.40995835e-02,-1.44286808e-02,-1.53645310e-02,-1.63901514e-02,-1.73268951e-02,1.75497988e-02
0.024006,-1.40970801e-02,-1.44316995e-02,-1.53490046e-02,-1.63304054e-02,-1.71949164e-02,1.73054842e-02
0.025006,-1.40960562e-02,-1.44369122e-02,-1.53365246e-02,-1.62748679e-02,-1.70698485e-02,1.70731774e-02
0.026007,-1.40964616e-02,-1.44442003e-02,-1.53269407e-02,-1.62232183e-02,-1.69512594e-02,1.68517765e-02
0.027007,-1.40982059e-02,-1.44535155e-02,-1.53199874e-02,-1.61753275e-02,-1.68383942e-02,1.66408846e-02
0.028007,-1.41012183e-02,-1.44647727e-02,-1.53154574e-02,-1.61309739e-02,-1.67306724e-02,1.64398140e-02
0.029007,-1.41054787e-02,-1.44778233e-02,-1.53132853e-02,-1.60897587e-02,-1.66279183e-02,1.62472513e-02
0.030008,-1.41109340e-02,-1.44925161e-02,-1.53133295e-02,-1.60513035e-02,-1.65297763e-02,1.60620073e-02
0.031008,-1.41174941e-02,-1.45087912e-02,-1.53153352e-02,-1.60154661e-02,-1.64355609e-02,1.58837320e-02
0.032008,-1.41250765e-02,-1.45265788e-02,-1.53190696e-02,-1.59820810e-02,-1.63446527e-02,1.57120187e-02
0.033008,-1.41336427e-02,-1.45457285e-02,-1.53244305e-02,-1.59507722e-02,-1.62568171e-02,1.55457362e-02
0.034009,-1.41431569e-02,-1.45660840e-02,-1.53313257e-02,-1.59211514e-02,-1.61718586e-02,1.53837171e-02
0.035009,-1.41535440e-02,-1.45875750e-02,-1.53395425e-02,-1.58930514e-02,-1.60892330e-02,1.52255787e-02
