u,mode_n1,mode_n3,mode_n4,mode_n6,mode_n7,mode_n11
0.000000,-1.25240529e-01,8.79920033e-03,9.05221212e-02,6.14901567e-02,-1.36683799e-02,-9.86238290e-02
0.001000,-1.19612719e-01,9.28493563e-03,7.97457027e-02,5.68837165e-02,-9.36112135e-03,-8.71249514e-02
0.002001,-1.13402561e-01,9.61343638e-03,6.69887206e-02,5.03950659e-02,-4.46913477e-03,-6.69346263e-02
0.003001,-1.07221314e-01,9.73852666e-03,5.32533086e-02,4.23820369e-02,3.25094404e-04,-4.07389239e-02
0.004001,-1.01154799e-01,9.68167540e-03,3.85494063e-02,3.28651468e-02,4.70512909e-03,-1.15774794e-02
0.005001,-9.50520798e-02,9.41349052e-03,2.37767483e-02,2.26340463e-02,8.58348707e-03,1.90634672e-02
0.006002,-8.90491769e-02,8.97076269e-03,8.78125240e-03,1.16433500e-02,1.16346872e-02,4.72514437e-02
0.007002,-8.31397614e-02,8.36199154e-03,-6.04152992e-03,3.02669977e-04,1.37273619e-02,7.04451308e-02
0.008002,-7.71985634e-02,7.56710268e-03,-1.99010868e-02,-1.06234186e-02,1.48662342e-02,8.75456316e-02
0.009002,-7.14887964e-02,6.65934253e-03,-3.34087544e-02,-2.15254639e-02,1.47779309e-02,9.48280662e-02
0.010003,-6.56755539e-02,5.57497486e-03,-4.50371119e-02,-3.10360648e-02,1.37906657e-02,9.44589526e-02
0.011003,-6.01636518e-02,4.42080699e-03,-5.59678542e-02,-4.00062498e-02,1.16054598e-02,8.31417691e-02
0.012003,-5.45132787e-02,3.11286292e-03,-6.43488576e-02,-4.68303713e-02,8.77479170e-03,6.56930501e-02
0.013003,-4.92374535e-02,1.78465860e-03,-7.18358574e-02,-5.27669518e-02,5.00057022e-03,3.95543615e-02
0.014004,-4.37564306e-02,3.20633555e-04,-7.61449955e-02,-5.58966738e-02,1.04201605e-03,1.20281807e-02
0.015004,-3.87427574e-02,-1.10471819e-03,-7.96040307e-02,-5.80810651e-02,-3.45841686e-03,-1.97204317e-02
0.016004,-3.35247972e-02,-2.63236859e-03,-7.97118049e-02,-5.72488020e-02,-7.66047672e-03,-4.72009549e-02
0.017004,-2.85959144e-02,-4.12156176e-03,-7.81917649e-02,-5.48639017e-02,-1.16879003e-02,-7.17118059e-02
0.018005,-2.39916238e-02,-5.55646048e-03,-7.52996648e-02,-5.11120414e-02,-1.54225816e-02,-9.12664902e-02
0.019005,-1.89490439e-02,-7.08778471e-03,-6.82355768e-02,-4.38263286e-02,-1.78874837e-02,-9.77088925e-02
0.020005,-1.45861881e-02,-8.43408105e-03,-6.12070077e-02,-3.65476218e-02,-1.98924168e-02,-9.93890550e-02
0.021005,-1.06536914e-02,-9.65473556e-03,-5.36427096e-02,-2.88084508e-02,-2.12511777e-02,-9.43344939e-02
0.022006,-5.94268934e-03,-1.10043759e-02,-4.11689084e-02,-1.72178759e-02,-2.06911120e-02,-7.29069894e-02
0.023006,-1.12989070e-03,-1.22880502e-02,-2.63778680e-02,-4.15337900e-03,-1.86580479e-02,-4.25146105e-02
0.024006,2.34087669e-03,-1.31665565e-02,-1.49892190e-02,5.65342330e-03,-1.66329834e-02,-1.77674175e-02
0.025006,4.13431860e-03,-1.35938104e-02,-8.88002192e-03,1.08198575e-02,-1.53860859e-02,-4.10630412e-03
0.026007,4.79794738e-03,-1.37299515e-02,-6.52784680e-03,1.27581688e-02,-1.48199135e-02,1.34976103e-03
0.027007,4.95154092e-03,-1.37390145e-02,-5.91850625e-03,1.32183641e-02,-1.45997839e-02,2.94370326e-03
0.028007,4.93296560e-03,-1.37077099e-02,-5.91184270e-03,1.31749626e-02,-1.45095456e-02,3.19360997e-03
0.029007,4.87126967e-03,-1.36685721e-02,-6.06437134e-03,1.30038189e-02,-1.44601880e-02,3.08682272e-03
0.030008,4.80271677e-03,-1.36305829e-02,-6.25013505e-03,1.28110476e-02,-1.44255660e-02,2.90408102e-03
0.031008,4.73579159e-03,-1.35957948e-02,-6.43966187e-03,1.26213098e-02,-1.43993235e-02,2.71180492e-03
0.032008,4.67271707e-03,-1.35646170e-02,-6.62457979e-03,1.24412905e-02,-1.43793714e-02,2.52722216e-03
0.033008,4.61325638e-03,-1.35369340e-02,-6.80586440e-03,1.22700174e-02,-1.43657558e-02,2.34817928e-03
0.034009,4.55733516e-03,-1.35125995e-02,-6.98346996e-03,1.21072936e-02,-1.43582739e-02,2.17377900e-03
0.035009,4.50570853e-03,-1.34917129e-02,-7.15450154e-03,1.19552965e-02,-1.43560396e-02,2.01004497e-03
0.036009,4.45768774e-03,-1.34739789e-02,-7.32115932e-03,1.18119002e-02,-1.43592480e-02,1.85157235e-03
0.037009,4.41334583e-03,-1.34593294e-02,-7.48298806e-03,1.16773470e-02,-1.43677098e-02,1.69840594e-03
0.038010,4.37336583e-03,-1.34478008e-02,-7.63721808e-03,1.15535840e-02,-1.43803849e-02,1.55690825e-03
0.039010,4.33688270e-03,-1.34390737e-02,-7.78658979e-03,1.14381325e-02,-1.43977535e-02,1.41952439e-03
0.040010,4.30421649e-03,-1.34331252e-02,-7.92984818e-03,1.13318178e-02,-1.44192669e-02,1.28946554e-03
0.041010,4.27568311e-03,-1.34298892e-02,-8.06523006e-03,1.12357645e-02,-1.44442053e-02,1.16944156e-03
0.042011,4.25045065e-03,-1.34290738e-02,-8.19565705e-03,1.11473656e-02,-1.44730270e-02,1.05301096e-03
0.043011,4.22934139e-03,-1.34307368e-02,-8.31759320e-03,1.10692631e-02,-1.45046361e-02,9.47287671e-04
0.044011,4.21183463e-03,-1.34346489e-02,-8.43265166e-03,1.09998518e-02,-1.45391062e-02,8.48488120e-04
0.045011,4.19753228e-03,-1.34405861e-02,-8.54184917e-03,1.09380711e-02,-1.45764432e-02,7.53852677e-04
